iter	Passed	Remaining
402	12532	18565
403	12550	18515
404	12570	18467
405	12579	18404
406	12609	18372
407	12688	18410
408	12720	18380
409	12755	18355
410	12767	18297
411	12789	18252
412	12815	18215
413	12898	18257
414	12914	18204
415	12927	18148
416	12939	18090
417	12948	18029
418	12960	17970
419	12998	17949
420	13073	17979
421	13104	17948
422	13135	17917
423	13163	17882
424	13212	17876
425	13240	17840
426	13274	17813
427	13286	17756
428	13297	17699
429	13316	17651
430	13426	17725
431	13443	17676
432	13455	17619
433	13466	17562
434	13474	17501
435	13482	17440
436	13491	17381
437	13522	17350
438	13607	17389
439	13660	17386
440	13670	17328
441	13704	17301
442	13766	17309
443	13793	17273
444	13804	17216
445	13812	17157
446	13863	17150
447	13931	17165
448	13950	17120
449	13960	17063
450	13970	17006
451	13981	16951
452	13991	16894
453	14019	16860
454	14093	16880
455	14123	16848
456	14134	16794
457	14153	16749
458	14162	16692
459	14170	16635
460	14178	16577
461	14239	16581
462	14283	16566
463	14315	16536
464	14350	16511
465	14409	16512
466	14426	16465
467	14440	16415
468	14449	16359
469	14459	16305
470	14479	16262
471	14550	16276
472	14589	16255
473	14634	16239
474	14642	16184
475	14695	16177
476	14757	16180
477	14775	16135
478	14795	16092
479	14804	16038
480	14814	15984
481	14823	15930
482	14858	15903
483	14922	15909
484	14933	15857
485	14944	15805
486	14954	15752
487	14966	15702
488	14979	15653
489	15045	15659
490	15090	15643
491	15100	15591
492	15120	15550
493	15131	15498
494	15140	15446
495	15167	15412
496	15251	15435
497	15264	15387
498	15278	15339
499	15294	15294
500	15364	15303
501	15415	15292
502	15425	15241
503	15435	15190
504	15446	15140
505	15454	15088
506	15464	15037
507	15516	15027
508	15543	14993
509	15620	15008
510	15648	14975
511	15730	14993
512	15741	14943
513	15768	14909
514	15893	14967
515	15924	14937
516	16061	15005
517	16096	14977
518	16133	14952
519	16159	14916
520	16178	14874
521	16196	14831
522	16225	14798
523	16255	14766
524	16281	14730
525	16293	14682
526	16304	14633
527	16366	14630
528	16382	14586
529	16394	14538
530	16453	14532
531	16498	14513
532	16533	14486
533	16546	14439
534	16596	14425
535	16629	14396
536	16710	14407
537	16726	14363
538	16830	14395
539	16852	14355
540	17004	14427
541	17108	14457
542	17151	14434
543	17178	14399
544	17198	14358
545	17208	14308
546	17217	14258
547	17245	14224
548	17331	14237
549	17348	14194
550	17358	14145
551	17378	14104
552	17387	14054
553	17396	14005
554	17404	13955
555	17422	13913
556	17462	13888
557	17522	13879
558	17560	13853
559	17570	13805
560	17591	13766
561	17668	13770
562	17700	13738
563	17713	13693
564	17726	13648
565	17736	13599
566	17743	13550
567	17751	13500
568	17834	13509
569	17879	13488
570	17895	13444
571	17904	13397
572	17923	13356
573	17932	13308
574	17941	13261
575	17948	13212
576	18029	13217
577	18072	13194
578	18085	13150
579	18139	13135
580	18169	13103
581	18220	13086
582	18231	13040
583	18253	13002
584	18263	12956
585	18286	12918
586	18315	12886
587	18391	12886
588	18401	12840
589	18413	12795
590	18423	12750
591	18433	12704
592	18442	12658
593	18549	12678
594	18586	12650
595	18628	12627
596	18645	12586
597	18655	12541
598	18665	12495
599	18717	12478
600	18754	12450
601	18770	12410
602	18791	12372
603	18804	12328
604	18820	12287
605	18830	12242
606	18838	12196
607	18916	12196
608	18948	12165
609	18959	12121
610	18969	12077
611	18977	12031
612	19049	12026
613	19083	11997
614	19105	11960
615	19123	11921
616	19134	11877
617	19149	11836
618	19157	11791
619	19168	11748
620	19215	11727
621	19239	11692
622	19252	11650
623	19261	11606
624	19273	11563
625	19282	11520
626	19289	11475
627	19395	11489
628	19410	11448
629	19419	11405
630	19432	11363
631	19442	11321
632	19453	11278
633	19537	11278
634	19575	11251
635	19603	11219
636	19641	11193
637	19672	11161
638	19720	11141
639	19733	11100
640	19744	11058
641	19752	11014
642	19764	10973
643	19790	10940
644	19839	10919
645	19868	10887
646	19883	10848
647	19899	10809
648	19916	10771
649	19926	10729
650	19936	10687
651	19967	10657
652	19998	10627
653	20052	10608
654	20062	10567
655	20071	10525
656	20081	10483
657	20109	10452
658	20186	10445
659	20208	10410
660	20218	10369
661	20232	10329
662	20249	10292
663	20261	10252
664	20291	10221
665	20344	10202
666	20395	10182
667	20407	10142
668	20418	10102
669	20426	10060
670	20434	10019
671	20491	10001
672	20526	9973
673	20553	9941
674	20571	9905
675	20584	9866
676	20646	9850
677	20707	9834
678	20720	9795
679	20730	9755
680	20743	9716
681	20758	9679
682	20765	9638
683	20811	9614
684	20848	9587
685	20870	9552
686	20884	9515
687	20899	9477
688	20909	9437
689	20918	9398
690	20961	9373
691	21040	9364
692	21050	9325
693	21061	9286
694	21073	9248
695	21085	9209
696	21092	9169
697	21170	9159
698	21223	9139
699	21242	9104
700	21256	9066
701	21341	9059
702	21403	9042
703	21557	9063
704	21604	9040
705	21614	9000
706	21622	8961
707	21719	8957
708	21749	8926
709	21774	8893
710	21787	8855
711	21798	8817
712	21866	8801
713	21900	8772
714	21935	8743
715	21949	8706
716	21959	8667
717	21967	8628
718	21977	8589
719	21985	8549
720	22014	8518
721	22088	8505
722	22106	8469
723	22121	8433
724	22135	8396
725	22144	8357
726	22152	8318
727	22164	8281
728	22244	8269
729	22270	8237
730	22284	8200
731	22296	8163
732	22338	8136
733	22377	8109
734	22487	8107
735	22527	8080
736	22601	8065
737	22620	8030
738	22688	8013
739	22763	7997
740	22778	7961
741	22796	7926
742	22807	7889
743	22816	7850
744	22885	7833
745	22942	7811
746	22956	7775
747	22970	7738
748	22981	7701
749	23013	7671
750	23048	7641
751	23093	7616
752	23110	7580
753	23121	7543
754	23136	7507
755	23147	7470
756	23156	7433
757	23165	7395
758	23229	7375
759	23285	7353
760	23296	7316
